19 19 20
10 9 0 grass
10 10 0 grass
10 11 0 grass
10 12 0 grass
10 13 0 grass
10 14 0 grass
10 15 0 grass
10 16 0 grass
10 17 0 grass
10 18 0 grass
11 0 0 grass
11 1 0 grass
11 2 0 grass
11 3 0 grass
11 4 0 grass
11 5 0 grass
11 6 0 grass
11 7 0 grass
11 8 0 grass
11 9 0 grass
11 10 0 grass
11 11 0 grass
11 12 0 grass
11 13 0 grass
11 14 0 grass
11 15 0 grass
11 16 0 grass
11 17 0 grass
11 18 0 grass
12 0 0 grass
12 1 0 grass
12 2 0 grass
12 3 0 grass
12 4 0 grass
12 5 0 grass
12 6 0 grass
12 7 0 grass
12 8 0 grass
12 9 0 grass
12 10 0 grass
12 11 0 grass
12 12 0 grass
12 13 0 grass
12 14 0 grass
12 15 0 grass
12 16 0 grass
12 17 0 grass
12 18 0 grass
13 0 0 grass
13 1 0 grass
13 2 0 grass
13 3 0 grass
13 4 0 grass
13 5 0 grass
13 6 0 grass
13 7 0 grass
13 8 0 grass
13 9 0 grass
13 10 0 grass
13 11 0 grass
13 12 0 grass
13 13 0 grass
13 14 0 grass
13 15 0 grass
13 16 0 grass
13 17 0 grass
13 18 0 grass
14 0 0 grass
14 1 0 grass
14 2 0 grass
14 3 0 grass
14 4 0 grass
14 5 0 grass
14 6 0 grass
14 7 0 grass
14 8 0 grass
14 9 0 grass
14 10 0 grass
14 11 0 grass
14 12 0 grass
14 13 0 grass
14 14 0 grass
14 15 0 grass
14 16 0 grass
14 17 0 grass
14 18 0 grass
15 0 0 grass
15 1 bluecastle grass
15 2 0 grass
15 3 0 grass
15 4 0 grass
15 5 0 grass
15 6 0 grass
15 7 0 grass
15 8 0 grass
15 9 0 grass
15 10 0 grass
15 11 0 grass
15 12 0 grass
15 13 0 grass
15 14 0 grass
15 15 0 grass
15 16 0 grass
15 17 0 grass
15 18 0 grass
16 0 0 grass
16 1 0 grass
16 2 0 grass
16 3 0 grass
16 4 0 grass
16 5 0 grass
16 6 0 grass
16 7 0 grass
16 8 0 grass
16 9 0 grass
16 10 0 grass
16 11 0 grass
16 12 0 grass
16 13 0 grass
16 14 0 grass
16 15 0 grass
16 16 0 grass
16 17 0 grass
16 18 0 grass
17 0 0 grass
17 1 0 grass
17 2 0 grass
17 3 0 grass
17 4 0 grass
17 5 0 grass
17 6 0 grass
17 7 0 grass
17 8 0 grass
17 9 0 grass
17 10 0 grass
17 11 0 grass
17 12 0 grass
17 13 0 grass
17 14 0 grass
17 15 0 grass
17 16 0 grass
17 17 0 grass
17 18 0 grass
18 0 0 grass
18 1 0 grass
18 2 0 grass
18 3 0 grass
18 4 0 grass
18 5 0 grass
18 6 0 grass
18 7 0 grass
18 8 0 grass
18 9 0 grass
18 10 0 grass
18 11 0 grass
18 12 0 grass
18 13 0 grass
18 14 0 grass
18 15 0 grass
18 16 0 grass
18 17 0 grass
18 18 0 grass
